size,cdf_count
4096,0.337654795
8192,0.40746477
12288,0.475848937
16384,0.525041624
20480,0.570036602
24576,0.607068915
28672,0.636858301
32768,0.660892064
36864,0.678787561
40960,0.694236862
45056,0.707337905
49152,0.719705545
53248,0.729246622
57344,0.737817419
61440,0.746513487
65536,0.753733638
69632,0.760120169
73728,0.765962341
77824,0.771396815
81920,0.776803956
86016,0.781851229
90112,0.786438416
94208,0.791073434
98304,0.795501186
102400,0.799368635
106496,0.805108314
110592,0.808226417
114688,0.811253414
118784,0.814262189
122880,0.817054588
126976,0.819760437
131072,0.822457175
135168,0.826572888
139264,0.829087414
143360,0.831451615
147456,0.83387959
151552,0.83605019
155648,0.838027191
159744,0.839949527
163840,0.841757982
167936,0.843450276
172032,0.845126626
176128,0.846693649
180224,0.848288004
184320,0.85019212
188416,0.851893524
192512,0.853633649
196608,0.855287223
200704,0.856826915
204800,0.858211726
208896,0.859532763
212992,0.860730807
217088,0.862029067
221184,0.86327722
225280,0.864416045
229376,0.86551615
233472,0.866625365
237568,0.867780134
241664,0.868807354
245760,0.869880127
249856,0.870959733
253952,0.87200973
258048,0.873093892
262144,0.874134778
266240,0.875262215
270336,0.876250715
274432,0.877191384
278528,0.878125221
282624,0.879013504
286720,0.879979228
290816,0.880869789
294912,0.881698854
299008,0.882548417
303104,0.883461755
307200,0.884363704
311296,0.885183658
315392,0.885994502
319488,0.886773458
323584,0.887536471
327680,0.888288095
331776,0.889133104
335872,0.889971279
339968,0.890729736
344064,0.891492749
348160,0.89225804
352256,0.89298461
356352,0.893784065
360448,0.894478748
364544,0.895253149
368640,0.895984275
372736,0.896729067
376832,0.897478414
380928,0.898175375
385024,0.898892834
401933,0.901764951
422030,0.905060711
443131,0.908438466
465288,0.91172967
488552,0.915002654
512980,0.918339411
538629,0.921398295
565560,0.922753497
593838,0.923912821
623530,0.92492182
654707,0.926117586
687442,0.9272473
721814,0.928404347
757905,0.929465732
795800,0.930561281
835590,0.93157028
877370,0.932538282
921238,0.933519949
967300,0.934654219
1015665,0.935943369
1066448,0.937961367
1119771,0.939175354
1175759,0.940204852
1234547,0.941122745
1296275,0.941958642
1361089,0.942783152
1429143,0.943564386
1500600,0.944400283
1575630,0.945083578
1654412,0.945787372
1737132,0.946443336
1823989,0.947135741
1915188,0.947789427
2010948,0.948427169
2111495,0.95080048
2217070,0.951253733
2327924,0.951747983
2444320,0.952155682
2566536,0.95253605
2694863,0.952959692
2829606,0.95344711
2971086,0.953945915
3119641,0.954472052
3275623,0.95496858
3439404,0.955515216
3611374,0.956061852
3791943,0.956551547
3981540,0.957089072
4180617,0.957622042
4389648,0.958314448
4609130,0.95879731
4839587,0.959257395
5081566,0.959719758
5335644,0.96020262
5602427,0.960521491
5882548,0.960888192
6176675,0.961182009
6485509,0.961498603
6809785,0.961776476
7150274,0.962042961
7507788,0.962336778
7883177,0.96270348
8277336,0.963029184
8691203,0.963323
9125763,0.963687424
9582051,0.964049571
10061154,0.964411717
10564211,0.964823972
11092422,0.965311389
11647043,0.965757808
12229395,0.966302167
12840865,0.966794139
13482908,0.967379495
14157054,0.967987628
14864906,0.96855704
15608152,0.969078622
16388559,0.969611592
17207987,0.970053456
18068387,0.970518097
18971806,0.97109662
19920396,0.971709308
20916416,0.972333384
21962237,0.973005291
23060349,0.973684031
24213366,0.974481208
25424035,0.975353548
26695236,0.976506039
28029998,0.977890851
29431498,0.979266551
30903073,0.980373489
32448227,0.981359712
34070638,0.98232088
35774170,0.983113502
37562879,0.984031395
39441023,0.985060893
41413074,0.986229328
43483728,0.987327155
45657914,0.988147109
47940810,0.98884407
50337850,0.989379318
52854743,0.989957841
55497480,0.990531809
58272354,0.991078445
61185972,0.991618248
64245270,0.992098832
67457534,0.992513364
70830411,0.992884621
74371931,0.993116941
78090528,0.993333318
81995054,0.993547417
86094807,0.993750128
90399547,0.993941451
94919525,0.994132773
99665501,0.994296764
104648776,0.994451644
109881215,0.994574638
115375275,0.994686242
121144039,0.994861621
127201241,0.995016502
133561303,0.995164549
140239368,0.995317151
147251337,0.995456088
154613904,0.995538083
162344599,0.995658799
170461829,0.995749905
178984920,0.995825067
187934167,0.995925284
197330875,0.996009557
207197419,0.996089275
217557290,0.996182658
228435154,0.996276042
239856912,0.996353482
251849757,0.996446866
264442245,0.996551638
277664358,0.996667798
291547576,0.996747516
306124954,0.996838622
321431202,0.99695706
337502762,0.997057276
354377900,0.997175714
372096795,0.997275931
390701635,0.997367037
410236717,0.997492307
430748553,0.997613023
452285980,0.997701851
474900280,0.997795235
498645294,0.997925061
523577558,0.998057165
549756436,0.998168769
577244258,0.998234821
606106471,0.998316817
636411795,0.998387424
668232384,0.998455753
701644004,0.998558248
736726204,0.998665297
773562514,0.998733627
812240640,0.998799678
852852672,0.998863453
895495305,0.998975058
940270071,0.999061608
987283574,0.999136771
1036647753,0.999232432
1088480140,0.999303039
1142904148,0.999344037
1200049355,0.999375924
1260051823,0.999419199
1323054414,0.999448809
1389207135,0.999471585
1458667491,0.999510305
1531600866,0.999542192
1608180909,0.99958319
1688589955,0.999617355
1773019453,0.999658353
1861670425,0.999681129
1954753946,0.999719849
2052491644,0.999758569
2155116226,0.99977679
2262872037,0.999790456
2376015639,0.999801844
2494816421,0.999822343
2619557242,0.999836009
2750535104,0.999856508
2888061860,0.999861063
3032464953,0.999879285
3184088200,0.99988384
3343292610,0.99989295
3510457241,0.999899783
3685980103,0.999904339
3870279108,0.999911172
4063793064,0.999920282
4266982717,0.99992256
4480331853,0.999929393
4704348445,0.999933948
4939565868,0.999936226
5186544161,0.999945336
